slug,name,botanical,genus,category,storedColor,candidateTrueColors,finalVerdict,confidence,shopperRelevance,colorAffectsSizeOrCare,notes
moonflower,Moonflower,Ipomoea alba,Ipomoea,Climber,white,,single-color,0.92,medium,,"Ipomoea alba, the night-blooming moonflower, is essentially always pure white; unlike its multicolored morning-glory relatives (I. purpurea/tricolor), this species has no meaningful color range."
basket-of-gold,Basket of Gold,Aurinia saxatilis,Aurinia,Perennial,yellow,,single-color,0.9,medium,,"Aurinia saxatilis is defined by its golden-yellow spring sheets; only marginal collector cultivars deviate ('Citrina' lemon, 'Dudley Neville' apricot), so a normal shopper always gets gold. The name itself fixes the color."
ajuga,Bugleweed,Ajuga reptans,Ajuga,Perennial,blue,,single-color,0.9,medium,,"Ajuga reptans flower spikes are reliably blue-violet; white ('Alba') and pink ('Rosea') forms exist but a normal shopper never encounters them. The variation buyers actually pick is foliage (green, bronze, purple-black, tricolor-variegated cultivars like 'Burgundy Glow' and 'Black Scallop')."
perennial-sunflower,Perennial Sunflower,Helianthus,Helianthus,Perennial,yellow,,single-color,0.9,medium,,"Perennial Helianthus (H. x multiflorus, H. maximiliani, H. salicifolius, etc.) are uniformly golden-yellow. The red, bronze, and mahogany forms belong to the annual H. annuus, a different plant, so this perennial entry is honestly single-color."
russian-sage,Russian Sage,Salvia yangii,Salvia,Perennial,blue,,single-color,0.9,medium,,"Salvia yangii (formerly Perovskia) and all its cultivars ('Blue Spire', 'Little Spire', 'Denim 'n Lace') bloom the same lavender/violet-blue; no pink or white forms reach trade. Stored blue is honest, if really a blue-violet."
virginia-bluebells,Virginia Bluebells,Mertensia virginica,Mertensia,Perennial,blue,,single-color,0.88,medium,,"Mertensia virginica is iconically sky-blue, with pink buds that open blue (a characteristic, not a separate offering). Rare 'Alba' white and 'Rubra' pink forms exist but are collector oddities a normal nursery shopper never encounters, so blue is genuinely the only color in trade."
candytuft,Candytuft,Iberis sempervirens,Iberis,Perennial,white,,single-color,0.85,medium,,"Perennial Iberis sempervirens is grown for its sheet of pure white bloom; that is the product. Newer selections ('Pink Ice', 'Absolutely Amethyst') flush pale pink/lavender as flowers age, but the plant reads white to a home gardener. (The multicolor pinks/purples belong to the separate annual I. umbellata, not this species.)"
joe-pye-weed,Joe Pye Weed,Eutrochium,Eutrochium,Perennial,magenta/pink,,single-color,0.85,medium,,"Eutrochium is uniformly in the mauve / dusty-rose to purplish-pink range across all common cultivars ('Gateway', 'Little Joe', 'Baby Joe'); there are no red/yellow/blue forms and white is a rare specialty selection a big-box shopper never sees. Size differences (tall species vs dwarf selections) are cultivar-driven, not color-driven, so stored magenta/pink is accurate."
cardinal-flower,Cardinal Flower,Lobelia cardinalis,Lobelia,Perennial,red,,single-color,0.83,medium,,"The species Lobelia cardinalis is defined by its scarlet spikes (hence the name) and is essentially red in cultivation. Other colors on the shelf belong to different taxa (blue L. siphilitica; pink/purple L. x speciosa hybrids sold under their own names), not to cardinalis itself. Foliage varies (green vs bronze-purple 'Queen Victoria'), but flower color does not."
foam-flower,Foam Flower,Tiarella,Tiarella,Perennial,white,blush pink,single-color,0.82,medium,,"Tiarella flowers are white to pale blush-pink only; even the 'pink' selections ('Pink Skyrocket', 'Spring Symphony') read as soft-white foam spikes, so white is fair. It is increasingly bought for its heavily cut, dark-veined foliage, which varies far more than the flower color."
false-sunflower,False Sunflower,Heliopsis,Heliopsis,Perennial,yellow,golden-orange; orange-red bicolor (Burning Hearts),single-color,0.8,medium,,"Heliopsis helianthoides is essentially golden-yellow; recent orange-red bicolor cultivars ('Burning Hearts', 'Bleeding Hearts') exist but yellow overwhelmingly dominates what shoppers actually see. A variegated-foliage form ('Loraine Sunshine') is sold for its leaves, not flower color."
dill,Dill,Anethum graveolens,Anethum,Herb,yellow,,single-color,0.96,low,,"Anethum graveolens carries flat umbels of tiny yellow flowers only, with no color range in the species. It is grown for foliage and seed, so a gardener essentially never selects it by bloom color."
goldenrod,Goldenrod,Solidago,Solidago,Perennial,yellow,,single-color,0.95,low,,"Every Solidago species and hybrid ('Fireworks', 'Golden Fleece', 'Little Lemon') blooms yellow to gold; the genus has no other flower color. Stored yellow is the only honest option."
chives,Chives,Allium schoenoprasum,Allium,Herb,purple,,single-color,0.9,low,,"Allium schoenoprasum reliably produces mauve-purple pompom umbels; a white 'Album' and deeper-rose 'Forescate' exist but are uncommon and rarely picked. Bought as a culinary herb. (White garlic chives, A. tuberosum, are a separate species, not a color form of this one.)"
climbing-hydrangea,Climbing Hydrangea,Hydrangea petiolaris,Hydrangea,Climber,white,,single-color,0.9,low,,"Hydrangea petiolaris (anomala subsp. petiolaris) bears only white lacecap flowers and, unlike bigleaf H. macrophylla, does not shift pink/blue with soil pH. Stored white is the only realistic color."
lily-of-valley,Lily of the Valley,Convallaria majalis,Convallaria,Perennial,white,,single-color,0.9,low,,Convallaria majalis is white in all ordinary cultivation; a pink 'Rosea' exists but is a genuine collector rarity a normal shopper never encounters. Stored white is the correct default.
mint,Mint,Mentha,Mentha,Herb,purple,,single-color,0.9,low,,"Mentha produces small, fairly uniform lilac-to-mauve (occasionally whitish) flower spikes across spearmint and peppermint; grown for foliage flavor and never for bloom color. Cultivar variation is in leaf/scent (chocolate, pineapple/variegated), not flower color."
pachysandra,Pachysandra,Pachysandra terminalis,Pachysandra,Perennial,white,,single-color,0.9,low,,"Pachysandra terminalis is grown as an evergreen foliage groundcover; its small spring flower spikes are white to greenish-white only. Leaf-variegated forms ('Variegata','Silver Edge') exist, but flower color is genuinely single and buyers do not pick it by bloom color."
sage,Sage,Salvia officinalis,Salvia,Herb,blue,,single-color,0.9,low,,"Salvia officinalis flowers are consistently blue-violet; the variation shoppers actually choose is FOLIAGE (purple 'Purpurascens', gold 'Icterina', pink-cream 'Tricolor', broad grey 'Berggarten'), not bloom color. Grown chiefly for its leaves, so flower color is not a driver."
solomons-seal,Solomon's Seal,Polygonatum,Polygonatum,Perennial,white,,single-color,0.9,low,,"Polygonatum species (biflorum, odoratum, humile, giant multiflorum) all bear the same pendant white-to-greenish-white bells; there is no color range in cultivation. Foliage variegation exists (P. odoratum 'Variegatum', cream-edged leaves), but that is a leaf trait, not a flower-color choice, and shoppers buy it for the arching form."
tulip-tree,Tulip Tree,Liriodendron tulipifera,Liriodendron,Tree,green,,single-color,0.9,low,,"Liriodendron tulipifera has one distinctive flower form on every tree: cup-shaped yellow-green ('tulip') petals with an orange basal band. As a very large shade tree the high, sparse flowers are not a purchase driver and there are no color variants; stored green (a yellow-green) understates the orange band but is fair."
ironweed,Ironweed,Vernonia,Vernonia,Perennial,purple,,single-color,0.86,low,,"Every commonly grown Vernonia (V. noveboracensis, gigantea, lettermannii) is the same iron/red-purple. A white form (f. albiflora) exists but is a rare collector plant a normal shopper never encounters. Species vary greatly in size but that is unrelated to color."
queen-of-the-prairie,Queen of the Prairie,Filipendula rubra,Filipendula,Perennial,pink,,single-color,0.85,low,,"Filipendula rubra (incl. 'Venusta') is consistently rose-pink. The white-flowered Filipendulas are separate species (F. ulmaria meadowsweet, F. vulgaris dropwort) sold under other names, so this species itself is single-color."
rosemary,Rosemary,Salvia rosmarinus,Salvia,Herb,blue,,single-color,0.85,low,,"Salvia rosmarinus flowers are near-uniformly pale lavender-blue in cultivation; white ('Albiflorus') and pink forms exist but are collector-rare and essentially never stocked at a big-box nursery. Bought as a culinary herb, so flower color is not a purchase driver (the real habit split, upright vs prostrate, is not color-linked)."
echinops,Globe Thistle,Echinops,Echinops,Perennial,blue,,single-color,0.8,low,,"Echinops ritro and the common cultivars ('Veitch's Blue', 'Taplow Blue') are all steel-blue; a white 'Arctic Glow'/'Star Frost' exists but is uncommon at ordinary retail. Functionally a blue plant, so stored blue is fair."
oregano,Oregano,Origanum,Origanum,Herb,purple,white; pink; rose,single-color,0.8,low,,"Origanum ranges from insignificant white-to-pale-pink flowers on culinary oregano/marjoram (O. vulgare, O. majorana) to showy pink-rose bracts on ornamental types ('Kent Beauty', 'Herrenhausen'). Most is bought as a leaf herb, so few shoppers select by flower color; the trailing pink ornamentals differ in size but that is a species/use split more than a color-only one. | Oregano is bought as a culinary/foliage herb, not chosen by flower color  -  there is no white vs pink vs purple SKU on the herb bench. Its true flowers are tiny and insignificant, spanning a narrow continuous pale range (white to pink to lavender-purple) that the stored #c69fd6 already captures. The first pass's showy ""pink-rose"" ornamentals ('Kent Beauty', 'Herrenhausen', 'Amethyst Falls') get their color from overlapping BRACTS (modified leaves), not petals  -  a foliage/bract feature and a species/use split (trailing ornamental vs upright culinary), not a flower-color choice within one plant. Keep the single stored purple; pale pink is the only near-defensible second tone and it is not a genuine commerce axis."
